Date,Hour,Location,Predicted Accident Count
2024-09-18,1,location_東野,1.5822598802647785
2024-09-18,1,location_柏町,1.7077825676788687
2024-09-18,1,location_桐が作,1.7487895796438315
2024-09-18,1,location_桜ケ丘,1.6755609471171016
2024-09-18,1,location_権太坂,1.6755609471171016
2024-09-18,1,location_池辺町,1.7594242844308208
2024-09-18,1,location_法泉,1.6755609471171016
2024-09-18,1,location_白山,2.142733400229005
2024-09-18,1,location_白根,1.6940870972091928
2024-09-18,1,location_白根町,1.7411309083674076
2024-09-18,1,location_矢指町,1.7130457354273374
2024-09-18,1,location_笹野台,1.6744376630479407
2024-09-18,1,location_若葉台,1.696857046358287
2024-09-18,1,location_藤塚町,1.8378515824323478
2024-09-18,1,location_西川島町,1.7022259790917462
2024-09-18,1,location_西谷町,1.6575245367105924
2024-09-18,1,location_都岡町,1.6461164027487771
2024-09-18,1,location_金が谷,1.6608395438342813
2024-09-18,1,location_長津田町,1.883507514436031
2024-09-18,1,location_鶴ケ峰,1.677670953172791
2024-09-18,1,location_鶴ケ峰本町,1.65740600333547
2024-09-18,2,location_さちが丘,1.684711844479272
2024-09-18,2,location_万騎が原,1.6939776137850457
2024-09-18,2,location_三ツ境,1.674950640647317
2024-09-18,2,location_三保町,1.6337492143865737
2024-09-18,2,location_三反田町,1.6676655827863107
2024-09-18,2,location_上川井町,1.6883421776457346
2024-09-18,2,location_上白根,1.6952592381333846
2024-09-18,2,location_上白根町,1.6976092011716104
2024-09-18,2,location_上菅田町,1.5619349293195692
2024-09-18,2,location_下川井町,1.6458344033997796
2024-09-18,2,location_中尾,1.6229739469158146
2024-09-18,2,location_中希望が丘,1.6814963260610223
2024-09-18,2,location_中沢,1.7082687493569852
2024-09-18,2,location_中沢町,1.7530050712658531
2024-09-18,2,location_中白根,1.692424145248221
2024-09-18,2,location_二俣川,1.6778164471215766
2024-09-18,2,location_今井町,1.6196355107057019
2024-09-18,2,location_今宿,1.6669352784019522
2024-09-18,2,location_今宿南町,1.6755770111559172
2024-09-18,2,location_今宿東町,1.6976030289473214
2024-09-18,2,location_今宿町,1.581629995140982
2024-09-18,2,location_今宿西町,1.6507240053563996
2024-09-18,2,location_今川町,1.7011048526957153
2024-09-18,2,location_仏向町,1.7512567590234638
2024-09-18,2,location_南希望が丘,1.6674910952075126
2024-09-18,2,location_南本宿町,1.6744525546046396
2024-09-18,2,location_卸本町,1.6714234861415291
2024-09-18,2,location_名瀬町,1.809455331506571
2024-09-18,2,location_善部町,1.6953377506576532
2024-09-18,2,location_四季美台,1.661031706894787
2024-09-18,2,location_大池町,1.6879254659861895
2024-09-18,2,location_寺山町,1.6309909890922998
2024-09-18,2,location_小高町,1.6711956767640141
2024-09-18,2,location_川上町,1.487655424797294
2024-09-18,2,location_川井宿町,1.663130705917348
2024-09-18,2,location_川井本町,1.6649395583755076
2024-09-18,2,location_川島町,1.6879358959374815
2024-09-18,2,location_左近山,1.69093068587499
2024-09-18,2,location_市沢町,1.6702854659859212
2024-09-18,2,location_新桜ケ丘,1.7404552490570224
2024-09-18,2,location_未入力,1.8665377218343528
2024-09-18,2,location_本宿町,1.6891533571093702
2024-09-18,2,location_本村町,1.6763648625365817
2024-09-18,2,location_東川島町,1.7355541220377737
2024-09-18,2,location_東希望が丘,1.6689163681942953
2024-09-18,2,location_東野,1.584124591867631
2024-09-18,2,location_柏町,1.7096472792817017
2024-09-18,2,location_桐が作,1.7506542912466663
2024-09-18,2,location_桜ケ丘,1.6774256587199345
2024-09-18,2,location_権太坂,1.6774256587199345
2024-09-18,2,location_池辺町,1.7612889960336786
2024-09-18,2,location_法泉,1.6774256587199345
2024-09-18,2,location_白山,2.1445981118318183
2024-09-18,2,location_白根,1.6959518088120613
2024-09-18,2,location_白根町,1.7429956199701961
2024-09-18,2,location_矢指町,1.7149104470301775
2024-09-18,2,location_笹野台,1.676302374650772
2024-09-18,2,location_若葉台,1.6987217579611147
2024-09-18,2,location_藤塚町,1.8397162940351968
2024-09-18,2,location_西川島町,1.7040906906945632
2024-09-18,2,location_西谷町,1.6593892483134787
2024-09-18,2,location_都岡町,1.647981114351626
2024-09-18,2,location_金が谷,1.6627042554370717
2024-09-18,2,location_長津田町,1.8853722260388728
2024-09-18,2,location_鶴ケ峰,1.679535664775512
2024-09-18,2,location_鶴ケ峰本町,1.6592707149383155
2024-09-18,3,location_さちが丘,1.686576556082128
2024-09-18,3,location_万騎が原,1.695801671711624
2024-09-18,3,location_三ツ境,1.6768153522501925
2024-09-18,3,location_三保町,1.6356139259893534
2024-09-18,3,location_三反田町,1.669530294389181
2024-09-18,3,location_上川井町,1.6902068892485658
2024-09-18,3,location_上白根,1.6971239497361927
2024-09-18,3,location_上白根町,1.6994739127744665
2024-09-18,3,location_上菅田町,1.5637996409224182
2024-09-18,3,location_下川井町,1.6476991150026463
2024-09-18,3,location_中尾,1.6248386585186245
2024-09-18,3,location_中希望が丘,1.6833610376638481
2024-09-18,3,location_中沢,1.7101334609597898
2024-09-18,3,location_中沢町,1.7548697828687039
2024-09-18,3,location_中白根,1.6942888568511107
2024-09-18,3,location_二俣川,1.6796811587244256
2024-09-18,3,location_今井町,1.6215002223085135
2024-09-18,3,location_今宿,1.6687999900046981
2024-09-18,3,location_今宿南町,1.6774272463202755
2024-09-18,3,location_今宿東町,1.6994338579424801
2024-09-18,3,location_今宿町,1.5834437861628383
2024-09-18,3,location_今宿西町,1.6525887169591669
2024-09-18,3,location_今川町,1.7029695642985643
